n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
2,0.001,0.03,500,2.061564,43.438
2,0.001,0.03,1000,1.771691,49.062
2,0.001,0.03,2000,1.693732,49.375
2,0.001,0.03,3000,1.665153,47.812
2,0.001,0.03,5000,1.641322,37.188
2,0.001,0.03,7000,1.631418,44.062
2,0.001,0.03,10000,1.629249,43.75
2,0.001,0.03,15000,1.627678,43.75
2,0.001,0.03,20000,1.626978,44.688
2,0.001,0.03,30000,1.6264,44.688
2,0.001,0.03,50000,1.618391,52.5
2,0.001,0.1,500,1.703578,50
2,0.001,0.1,1000,1.651802,37.188
2,0.001,0.1,2000,1.643295,45.625
2,0.001,0.1,3000,1.629038,44.375
2,0.001,0.1,5000,1.62722,44.688
2,0.001,0.1,7000,1.626759,44.062
2,0.001,0.1,10000,1.626081,45
2,0.001,0.1,15000,1.618379,52.5
2,0.001,0.1,20000,1.625486,45
2,0.001,0.1,30000,1.629046,46.25
2,0.001,0.1,50000,1.62289,39.062
2,0.001,0.3,500,1.636072,45
2,0.001,0.3,1000,1.629108,44.062
2,0.001,0.3,2000,1.628217,31.875
2,0.001,0.3,3000,1.626437,44.688
2,0.001,0.3,5000,1.625886,45
2,0.001,0.3,7000,1.623664,41.562
2,0.001,0.3,10000,1.641561,46.562
2,0.001,0.3,15000,1.622847,39.375
2,0.001,0.3,20000,1.622342,39.688
2,0.001,0.3,30000,1.619077,40.938
2,0.001,0.3,50000,1.623686,41.25
2,0.001,0.5,500,1.63092,44.688
2,0.001,0.5,1000,1.6274,43.75
2,0.001,0.5,2000,1.626286,44.375
2,0.001,0.5,3000,1.625785,47.5
2,0.001,0.5,5000,1.616509,52.5
2,0.001,0.5,7000,1.623028,39.375
2,0.001,0.5,10000,1.607432,47.812
2,0.001,0.5,15000,1.622279,39.688
2,0.001,0.5,20000,1.621532,43.125
2,0.001,0.5,30000,1.626662,45.938
2,0.001,0.5,50000,1.618503,48.438
2,0.001,0.7,500,1.620791,50.938
2,0.001,0.7,1000,1.626419,44.688
2,0.001,0.7,2000,1.625978,45
2,0.001,0.7,3000,1.625649,44.688
2,0.001,0.7,5000,1.625481,45.625
2,0.001,0.7,7000,1.622844,48.438
2,0.001,0.7,10000,1.62465,44.375
2,0.001,0.7,15000,1.619103,43.75
2,0.001,0.7,20000,1.616478,40.625
2,0.001,0.7,30000,1.636072,45.938
2,0.001,0.7,50000,1.613517,40.938
2,0.001,0.9,500,1.630752,51.875
2,0.001,0.9,1000,1.626318,43.75
2,0.001,0.9,2000,1.630353,43.125
2,0.001,0.9,3000,1.629083,46.25
2,0.001,0.9,5000,1.622071,48.125
2,0.001,0.9,7000,1.613452,52.5
2,0.001,0.9,10000,1.621571,48.125
2,0.001,0.9,15000,1.625912,41.562
2,0.001,0.9,20000,1.622928,53.125
2,0.001,0.9,30000,1.62196,53.438
2,0.001,0.9,50000,1.613447,40.312
2,0.001,1.1,500,1.627177,43.125
2,0.001,1.1,1000,1.619794,52.5
2,0.001,1.1,2000,1.625523,45
2,0.001,1.1,3000,1.641261,46.562
2,0.001,1.1,5000,1.623324,39.688
2,0.001,1.1,7000,1.620431,30
2,0.001,1.1,10000,1.624213,44.375
2,0.001,1.1,15000,1.617323,44.688
2,0.001,1.1,20000,1.616052,44.688
2,0.001,1.1,30000,1.61469,44.375
2,0.001,1.1,50000,1.613561,44.062
2,0.001,1.3,500,1.626515,45
2,0.001,1.3,1000,1.626067,45
2,0.001,1.3,2000,1.624341,43.438
2,0.001,1.3,3000,1.625208,44.062
2,0.001,1.3,5000,1.623526,39.062
2,0.001,1.3,7000,1.621184,44.062
2,0.001,1.3,10000,1.61876,44.688
2,0.001,1.3,15000,1.617261,44.062
2,0.001,1.3,20000,1.615285,51.875
2,0.001,1.3,30000,1.610307,51.875
2,0.001,1.3,50000,1.613758,43.125
2,0.001,1.5,500,1.636422,47.812
2,0.001,1.5,1000,1.625463,45.312
2,0.001,1.5,2000,1.628971,46.25
2,0.001,1.5,3000,1.624151,38.75
2,0.001,1.5,5000,1.624668,44.375
2,0.001,1.5,7000,1.611562,51.875
2,0.001,1.5,10000,1.623908,50.313
2,0.001,1.5,15000,1.618846,48.125
2,0.001,1.5,20000,1.615973,44.688
2,0.001,1.5,30000,1.619776,31.25
2,0.001,1.5,50000,1.614871,48.75
2,0.001,1.8,500,1.626406,45
2,0.001,1.8,1000,1.642649,46.562
2,0.001,1.8,2000,1.616557,52.5
2,0.001,1.8,3000,1.624959,44.375
2,0.001,1.8,5000,1.624434,44.375
2,0.001,1.8,7000,1.612293,48.75
2,0.001,1.8,10000,1.612707,52.5
2,0.001,1.8,15000,1.6163,41.875
2,0.001,1.8,20000,1.615492,40.625
2,0.001,1.8,30000,1.616199,49.688
2,0.001,1.8,50000,1.614481,48.75
2,0.003,0.03,500,2.012977,44.375
2,0.003,0.03,1000,1.753494,48.438
2,0.003,0.03,2000,1.693627,52.5
2,0.003,0.03,3000,1.649831,43.438
2,0.003,0.03,5000,1.650643,52.188
2,0.003,0.03,7000,1.645017,44.375
2,0.003,0.03,10000,1.628998,44.062
2,0.003,0.03,15000,1.627695,43.438
2,0.003,0.03,20000,1.624041,39.375
2,0.003,0.03,30000,1.626225,45
2,0.003,0.03,50000,1.629853,46.25
2,0.003,0.1,500,1.701092,50
2,0.003,0.1,1000,1.657344,38.438
2,0.003,0.1,2000,1.63169,41.875
2,0.003,0.1,3000,1.629158,44.062
2,0.003,0.1,5000,1.627271,45
2,0.003,0.1,7000,1.622245,52.188
2,0.003,0.1,10000,1.630715,46.25
2,0.003,0.1,15000,1.623381,30.938
2,0.003,0.1,20000,1.617311,52.5
2,0.003,0.1,30000,1.609725,48.438
2,0.003,0.1,50000,1.622654,40.312
2,0.003,0.3,500,1.636723,38.438
2,0.003,0.3,1000,1.637256,45.312
2,0.003,0.3,2000,1.627027,44.062
2,0.003,0.3,3000,1.626481,45
2,0.003,0.3,5000,1.643071,46.562
2,0.003,0.3,7000,1.629415,46.25
2,0.003,0.3,10000,1.624597,47.812
2,0.003,0.3,15000,1.607779,47.812
2,0.003,0.3,20000,1.617013,32.812
2,0.003,0.3,30000,1.622264,39.375
2,0.003,0.3,50000,1.609796,51.562
2,0.003,0.5,500,1.629876,44.375
2,0.003,0.5,1000,1.627399,43.75
2,0.003,0.5,2000,1.624922,31.25
2,0.003,0.5,3000,1.625915,45.625
2,0.003,0.5,5000,1.624172,43.125
2,0.003,0.5,7000,1.623248,39.688
2,0.003,0.5,10000,1.628378,46.25
2,0.003,0.5,15000,1.621887,43.438
2,0.003,0.5,20000,1.62699,46.25
2,0.003,0.5,30000,1.619804,48.125
2,0.003,0.5,50000,1.614417,40.938
2,0.003,0.7,500,1.650486,46.25
2,0.003,0.7,1000,1.626761,44.062
2,0.003,0.7,2000,1.61887,52.5
2,0.003,0.7,3000,1.622017,30.312
2,0.003,0.7,5000,1.628746,46.25
2,0.003,0.7,7000,1.622898,39.062
2,0.003,0.7,10000,1.622515,39.375
2,0.003,0.7,15000,1.618874,43.125
2,0.003,0.7,20000,1.616519,40.625
2,0.003,0.7,30000,1.614995,40.625
2,0.003,0.7,50000,1.611476,52.188
2,0.003,0.9,500,1.627674,43.75
2,0.003,0.9,1000,1.626367,44.688
2,0.003,0.9,2000,1.625723,45
2,0.003,0.9,3000,1.62341,40
2,0.003,0.9,5000,1.62271,40.312
2,0.003,0.9,7000,1.61692,32.5
2,0.003,0.9,10000,1.620729,44.375
2,0.003,0.9,15000,1.610364,51.562
2,0.003,0.9,20000,1.61578,41.562
2,0.003,0.9,30000,1.6147,40.938
2,0.003,0.9,50000,1.61342,40.625
2,0.003,1.1,500,1.633262,45.938
2,0.003,1.1,1000,1.626083,43.75
2,0.003,1.1,2000,1.625687,45.312
2,0.003,1.1,3000,1.625302,44.688
2,0.003,1.1,5000,1.623229,38.75
2,0.003,1.1,7000,1.623426,41.875
2,0.003,1.1,10000,1.619574,43.75
2,0.003,1.1,15000,1.617281,44.375
2,0.003,1.1,20000,1.619058,48.125
2,0.003,1.1,30000,1.61468,44.375
2,0.003,1.1,50000,1.6136,44.062
2,0.003,1.3,500,1.632374,46.25
2,0.003,1.3,1000,1.630083,46.25
2,0.003,1.3,2000,1.616384,52.5
2,0.003,1.3,3000,1.625381,47.812
2,0.003,1.3,5000,1.624063,53.125
2,0.003,1.3,7000,1.620613,44.375
